sample,SMILES_string,Number of molecules,# O atoms,# Cl atoms,# S atoms,# P atoms,# Br atoms,# I atoms,DK hit?,HG hit?,Use
1,[],0,0,0,0,0,0,0,0,0,0
2,[],0,0,0,0,0,0,0,0,0,0
3,[],0,0,0,0,0,0,0,0,0,0
4,[],0,0,0,0,0,0,0,0,0,0
6,[],0,0,0,0,0,0,0,0,0,0
9,[],0,0,0,0,0,0,0,0,0,0
10,[],0,0,0,0,0,0,0,0,0,0
11,[],0,0,0,0,0,0,0,0,0,0
12,[],0,0,0,0,0,0,0,0,0,0
13,[],0,0,0,0,0,0,0,0,0,0
14,[],0,0,0,0,0,0,0,0,0,0
15,[],0,0,0,0,0,0,0,0,0,0
17,[],0,0,0,0,0,0,0,0,0,0
18,[],0,0,0,0,0,0,0,0,0,0
19,[],0,0,0,0,0,0,0,0,0,0
20,[],0,0,0,0,0,0,0,0,0,0
21,[],0,0,0,0,0,0,0,0,0,0
22,[],0,0,0,0,0,0,0,0,0,0
23,[],0,0,0,0,0,0,0,0,0,0
24,[],0,0,0,0,0,0,0,0,0,0
25,[],0,0,0,0,0,0,0,0,0,0
27,[],0,0,0,0,0,0,0,0,0,0
28,[],0,0,0,0,0,0,0,0,0,0
29,['CNC(=O)[C@@H]1CC(=O)N(C1)c2ccc(cc2)OC'],1,3,0,0,0,0,0,0,0,0
30,['C[C@@H](C[NH2+]Cc1ccc2c(c1)OCO2)O'],1,3,0,0,0,0,0,0,0,0
31,['CC(=O)NCCc1cccc2c1cc(cc2)OC'],1,2,0,0,0,0,0,0,0,0
32,['c1ccc(cc1)C[NH+]2CCC(CC2)n3cccc3'],1,0,0,0,0,0,0,0,0,0
33,['CC1([C@H]2CC=C([C@@H]1C2)C[NH+]3CCC[C@@H]3CO)C'],1,1,0,0,0,0,0,0,0,0
34,['C[C@H]1CC[C@H](C1)[NH+]2CCN(CC2)c3ccccc3'],1,0,0,0,0,0,0,0,0,0
35,['c1cc(ccc1C[NH+]2CC[C@H](C2)O)Cl'],1,1,1,0,0,0,0,0,0,0
36,['Cc1ccsc1C[NH+]2CCC[C@@H]2CO'],1,1,0,1,0,0,0,0,0,0
37,['C[C@@H]1CCCC[NH+]1Cc2ccc(cc2)C(=O)OC'],1,2,0,0,0,0,0,0,0,0
38,['Cc1cc(c(cc1OC)C)C[NH+]2CC[C@H](C2)O'],1,2,0,0,0,0,0,0,0,0
39,['c1ccc2c(c1)CC[NH+](C2)Cc3ccccc3O'],1,1,0,0,0,0,0,0,0,0
40,['CC(=O)N1CC[NH+](CC1)CCCc2ccccc2'],1,1,0,0,0,0,0,0,0,0
41,['Cc1c(nc[nH]1)C[NH+]2CCc3ccccc3C2'],1,0,0,0,0,0,0,0,0,0
42,['C[NH+]1CCN(CC1)S(=O)(=O)N(C)C'],1,2,0,1,0,0,0,0,0,0
43,['c1ccc(c(c1)C[NH3+])OC(F)(F)F'],1,1,0,0,0,0,0,0,0,0
44,['COC(=O)Nc1ccc(cc1)Br'],1,2,0,0,0,0,0,0,0,0
45,['COc1cccc(c1)[C@H](CC(=O)[O-])[NH3+]'],1,3,0,0,0,0,0,0,0,0
