code,smile,id
vat-d100,O=C(c1cc[nH]n1)N1CCCCC1,100
vat-d110,c1cnc(N2CCCCC2)cn1,110
vat-d111,O=C(Cc1ccccc1)NCc1ccco1,111
vat-d114,O=C(NCc1ccccc1)C(=O)N1CCCC1,114
vat-d117,O=C(CN1CCCNCC1)Nc1ccccc1,117
vat-d118,O=S(=O)(Nc1ccccc1)c1ccoc1,118
vat-d121,O=S(=O)(Cc1ccccc1)N1CCOCC1,121
vat-d124,c1coc(CNC2CCCC2)c1,124
vat-d129,c1ccc(CNC2CC2)nc1,129
vat-d133,C1CC(CN2CCOCC2)CCN1,133
vat-d140,Cc1noc(CNC(=O)c2cccc(C(=O)O)c2)n1,140
vat-d144,O=C(c1ccco1)N1CCCC1,144
vat-d145,O=C(COc1ccccc1)NC1CCCC1,145
vat-d146,O=C(c1cccnc1)N1CCc2ccccc21,146
vat-d147,O=C(NCc1ccccc1)C1CC1,147
vat-d148,O=C(CCc1ccccc1)N1CCOCC1,148
vat-d149,Nc1ccn(-c2ccccc2)n1,149
vat-d153,O=C1Cc2ccccc2N1,153
vat-d155,c1cc(C2CCNCC2)n[nH]1,155
vat-d156,C1CCN(C2CCNCC2)C1,156
vat-d158,O=S(=O)(c1ccccc1)N1CCN(c2ccccc2)CC1,158
vat-d159,O=C(C1CC1)N1CCNCC1,159
vat-d161,O=S(=O)(c1ccccc1)N1CCCC1,161
vat-d163,CN(Cc1ccccc1)S(=O)(=O)c1c[nH]c(C(=O)O)c1,163
vat-d164,O=C(O)C1CC2(CCOCC2)C1,164
vat-d165,O=S(=O)(Nc1ccccn1)c1ccccc1,165
vat-d166,c1cc(N2CCNCC2)ccn1,166
vat-d168,O=C1CCc2ccccc2N1,168
vat-d173,O=C(NCC1CC1)c1cccs1,173
vat-d174,O=S1(=O)CCCNCC1,174
vat-d175,CN(CCc1cccc(C(F)(F)F)c1)Cc1nncn1C,175
vat-d180,O=C1NC(=O)C2(CCCC2)N1,180
vat-d183,O=c1cccnn1-c1ccccc1,183
vat-d101,O=C(NCCc1ccccc1)c1cccnc1,101
vat-d103,O=C(c1ccco1)N1CCOCC1,103
vat-d105,O=C(CCc1ccccc1)NCC1CCC1,105
vat-d106,O=C(NC1CCCCC1)N1CCOCC1,106
vat-d108,O=C(c1ccccc1)N1CCOCC1,108
vat-d112,O=S(=O)(N1CCCCC1)N1CCCCC1,112
vat-d113,O=C(c1cccnc1)N1CCC1,113
vat-d115,O=C(O)c1cc(S(=O)(=O)N2CCC(O)CC2)c[nH]1,115
vat-d116,O=S(=O)(Nc1nncs1)c1ccccc1,116
vat-d119,Cc1noc(CN2CCC(C(=O)O)CC2)n1,119
vat-d120,O=C(NC1CCCCC1)N1CCCC1,120
vat-d122,c1cc(N2CCC2)ncn1,122
vat-d123,c1cncc(CNC2CCCCC2)c1,123
vat-d125,C1CCC2(CC1)CCNCC2,125
vat-d128,C1CC2(CCOCC2)CN1,128
vat-d130,C1CNCC2(C1)CCC2,130
vat-d131,O=C(c1cc2ccccc2[nH]1)N1CCNCC1,131
vat-d135,CC(=O)c1c(C)[nH]c(C(=O)N2CCCCCC2)c1C,135
vat-d138,Cc1noc(CCC(=O)NCc2cccc(C(=O)O)c2)n1,138
vat-d139,O=C(O)c1cc(S(=O)(=O)NCc2ccccc2F)c[nH]1,139
vat-d141,O=C(CN1C(=O)c2ccccc2C1=O)NCc1ccccc1,141
vat-d142,O=C(COc1ccccc1)NCc1ccco1,142
vat-d143,O=S(=O)(c1ccccc1)N1CCOCC1,143
vat-d150,O=C1CNC(=O)N1c1ccccc1,150
vat-d151,O=C(CCOc1ccccc1)N1CCCC1,151
vat-d154,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,154
vat-d157,O=C1CNCCCN1,157
vat-d160,O=C(C1CCCCC1)N1CCOCC1,160
vat-d167,O=C(Nc1nccs1)c1ccccc1,167
vat-d169,O=C(c1cccnc1)N1CCNCC1,169
vat-d170,Cn1cc(S(=O)(=O)N2CCCCC2)cc1C(=O)O,170
vat-d171,O=C(NCc1ccccc1)C1CCC1,171
vat-d177,O=C(Cn1nnc(-c2ccccc2)n1)NCc1ccccc1,177
vat-d178,O=C(CN1C(=O)c2ccccc2C1=O)N1CCCCC1,178
vat-d181,c1ccc2c(c1)NCCS2,181
vat-d182,O=C1NC(=O)C2(CCCCC2)N1,182
vat-d184,C1CNCCN(C2CC2)C1,184
vat-d185,c1nc(CN2CCNCC2)n[nH]1,185
vat-d187,O=C(c1ccco1)N1CCNCC1,187
vat-d188,c1ccc2c(C3CCNCC3)c[nH]c2c1,188
vat-d189,c1csc(N2CCNCC2)n1,189
vat-d190,c1ccc(NC2CCC2)nc1,190
vat-d134,c1nc(CN2CCCC2)n[nH]1,134
vat-d191,OC(=O)C=1N=CC=CC1O,191
vat-d192,O=C1NC=2C=CC=CC2C1=O,192
vat-d193,CC(=O)C=1C=CC(O)=C(C)C1,193
vat-d194,CC=1C=CC=2N=C(N)SC2C1,194
vat-d195,CC(=O)C=1C=CC=C(N)C1,195
vat-d196,COC=1C=CC(=CC1)S(=O)(=O)N,196
vat-d197,NCC1(CC(=O)O)CCCCC1,197
vat-d198,O=C1NCCC=2C=CC=CC12,198
vat-d199,NS(=O)(=O)C=1C=CC=CC1F,199
